# 新着プール 87件（id | 公演名 | 会場 | 県 | 公演日 | ぴあURL）
4977 | からぴちパラダイスARENA TOUR 2026 ～シンフォニーエクスプレス～in Kアリーナ ライブビューイング NIGHT公演〈甲信越～関西〉 | 全国ツアー（イオンシネマ県央／J MAX THEATER 上越／T・ジョイ長岡／T・ジョイ新潟万代／イオンシネマとなみ／J MAX THEATER とやま／イオンシネマ新小松／イオンシネマ白山／鯖江アレックスシネマ／福井コロナシネマワールド／イオンシネマ須坂／イオンシネマ松本／岡谷スカラ座7／イオンシネマ各務原／イオンシネマ土岐／大垣コロナシネマワールド／TOHOシネマズ岐阜／イオンシネマ富士宮／シネプラザ サントムーン／TOHOシネマズ浜松／MOVIX清水／イオンシネマ大高／イオンシネマ岡崎／イオンシネマ豊川／イオンシネマ豊田KiTARA／イオンシネマ長久手／イオンシネマ名古屋茶屋／イオンシネマ ワンダー／シネマワールドららぽーと安城／TOHOシネマズ木曽川／ミッドランドシネマ名古屋空港／ミッドランドスクエアシネマ／MOVIX三好／ユナイテッド・シネマ稲沢／ユナイテッド・シネマ豊橋18／イオンシネマ鈴鹿／イオンシネマ津南／イオンシネマ東員／イオンシネマ近江八幡／イオンシネマ京都桂川／イオンシネマ久御山／イオンシネマ高の原／T・ジョイ京都／MOVIX京都／イオンシネマ茨木／イオンシネマ シアタス心斎橋／イオンシネマ四條畷／イオンシネマ大日／109シネマズ大阪エキスポシティ／TOHOシネマズセブンパーク天美／TOHOシネマズ泉北／MOVIX八尾／ユナイテッド・シネマ岸和田／アースシネマズ姫路／イオンシネマ明石／イオンシネマ加古川／イオンシネマ三田ウッディタウン／TOHOシネマズ西宮OS／シネマサンシャイン大和郡山／ユナイテッド・シネマ橿原／イオンシネマ和歌山） | 全国 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670236
4978 | 『キリコのタクト～YELL～』完成披露舞台挨拶上映会 | 新宿ピカデリー | 東京 | 2026-09-09 | https://t.pia.jp/pia/event/event.do?eventCd=2630906
4979 | こがねいシネマ シネマ歌舞伎「二人藤娘／日本振袖始」上映会 | 小金井 宮地楽器ホール 大ホール | 東京 | 2026-12-05 | https://t.pia.jp/pia/event/event.do?eventCd=2625612
4980 | 「SEKIRO:NO DEFEAT」公開御礼舞台挨拶 | 新宿バルト9 | 東京 | 2026-09-06 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670312
4981 | 宝塚歌劇 月組東急シアターオーブ公演『NINE』ライブ中継 | 全国ツアー（TOHOシネマズすすきの／イオンシネマ江釣子／TOHOシネマズ仙台／TOHOシネマズ秋田／TOHOシネマズひたちなか／TOHOシネマズ宇都宮／MOVIX伊勢崎／TOHOシネマズららぽーと富士見／MOVIXさいたま／TOHOシネマズ市川コルトンプラザ／TOHOシネマズ流山おおたかの森／TOHOシネマズ池袋／TOHOシネマズ上野／TOHOシネマズ渋谷／TOHOシネマズ新宿／TOHOシネマズ立川立飛／TOHOシネマズ日本橋／TOHOシネマズ日比谷／TOHOシネマズ府中／TOHOシネマズ南大沢／TOHOシネマズ六本木ヒルズ／TOHOシネマズ海老名／TOHOシネマズ上大岡／TOHOシネマズ川崎／ユナイテッド・シネマ新潟／TOHOシネマズファボーレ富山／金沢コロナシネマワールド／福井コロナシネマワールド／TOHOシネマズ上田／TOHOシネマズ岐阜／TOHOシネマズ浜松／TOHOシネマズ赤池／ミッドランドスクエアシネマ／ユナイテッド・シネマ大津／TOHOシネマズ二条／大阪ステーションシティシネマ／TOHOシネマズ梅田／TOHOシネマズくずはモール／TOHOシネマズなんば／OSシネマズミント神戸／TOHOシネマズ伊丹／TOHOシネマズ西宮OS／イオンシネマ松江／TOHOシネマズ岡南／TOHOシネマズ緑井／シネマサンシャイン北島／TOHOシネマズ新居浜／TOHOシネマズ天神・ソラリア館／TOHOシネマズららぽーと福岡／イオンシネマ佐賀大和／TOHOシネマズ熊本サクラマチ／TOHOシネマズ アミュプラザおおいた／札幌シネマフロンティア／TOHOシネマズおいらせ下田／MOVIE ON やまがた／イオンシネマ福島／池袋HUMAXシネマズ／kino cinema 新宿／新宿ピカデリー／TOHOシネマズ大井町／TOHOシネマズ西新井／TOHOシネマズ甲府／109シネマズ四日市／TOHOシネマズ鳳／なんばパークスシネマ／OSシネマズ神戸ハーバーランド／MOVIXあまがさき／TOHOシネマズ橿原／ジストシネマ和歌山／MOVIX日吉津／MOVIX周南／イオンシネマ高松東／TOHOシネマズ高知／TOHOシネマズ長崎／セントラルシネマ宮崎／ミハマ7プレックス） | 全国 | 2026-09-27 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670084
4982 | 『探偵はもう、死んでいる。Season2』第1話&第2話 先行上映会&キャストトークショー | イオンシネマ板橋 | 東京 | 2026-09-06 | https://t.pia.jp/pia/event/event.do?eventCd=2632162
4983 | TVアニメ『さよならララ』最終話直前先行上映会 | 池袋HUMAXシネマズ | 東京 | 2026-09-13 | https://t.pia.jp/pia/event/event.do?eventCd=2632689
4984 | TVアニメ「バーテックスフォース」先行上映会 -エンジン始動!- | ユナイテッド・シネマ豊洲 | 東京 | 2026-09-20 | https://t.pia.jp/pia/event/event.do?eventCd=2632220
4985 | TVアニメ「文豪ストレイドッグス」振り返り上映会&トークイベント | 丸の内ピカデリー | 東京 | 2026-11-21 | https://t.pia.jp/pia/event/event.do?eventCd=2632223
4986 | TVアニメ「マジカル★エクスプローラー」第1話～第3話先行上映会 | 新宿バルト9 | 東京 | 2026-09-13 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670486
