n	name	ids	genres	venues	dates	visible_counts
2	伊勢正三	2317,4503	jpop	全国ツアー（とうほう・みんなの文化センター 大ホール／ホクト文化ホール 大ホール／かつしかシンフォニーヒルズ モーツァルトホール／福岡サンパレス ホテル&ホール）|かつしかシンフォニーヒルズ モーツァルトホール	2026-11-07|2026-11-07	2,1
2	伊波杏樹	5811,5842	jpop	Yogibo META VALLEY|NAGOYA JAMMIN’	2026-10-04|2026-10-10	1,1
2	古澤巖×ベルリン・フィルハーモニック ストリングス～愛のクリスマス 2026～	1787,2475	classic	関内ホール 大ホール|全国ツアー（関内ホール 大ホール／アクロス福岡 福岡シンフォニーホール／しらかわホール／東京オペラシティ コンサートホール:タケミツメモリアル／二十五世観世左近記念観世能楽堂）	2026-12-05|2026-12-13	2,8
2	名探偵プリキュア! ドリームステージ♪	41,450	kids	長野市芸術館 メインホール|全国ツアー	2026-09-05|2026-10-04	0,7
2	堂島孝平	4044,4518	jpop	全国ツアー（心斎橋JANUS／PLANT）|LIVE HOUSE 燦庫-SANKO-	2026-10-31|2026-10-10	0,1
2	岡村孝子	5358,5359	jpop	Niterra日本特殊陶業市民会館 ビレッジホール|LINE CUBE SHIBUYA	2026-12-05|2026-12-19	1,1
2	川崎鷹也	4227,4493	jpop	全国ツアー（リンクステーションホール青森／仙台サンプラザホール／KDDI維新ホール／広島上野学園ホール）|札幌文化芸術劇場hitaru	2027-04-29|2027-05-21	4,1
2	忘れらんねえよ	5346,5347	jpop	エレクトリック・レディ・ランド|LIVE HOUSE enn 2nd	2026-12-18|2026-12-26	1,1
2	挾間美帆&デンマークラジオ・ビッグバンド	2836,4549	jazz	すみだトリフォニーホール 大ホール|アクリエひめじ 大ホール	2026-11-18|2026-11-15	1,1
2	来生たかお	2987,4525	jpop	全国ツアー（文京シビックホール 大ホール／フェスティバルホール／大仙市大曲市民会館）|全国ツアー（文京シビックホール 大ホール／カナモトホール／大仙市大曲市民会館／長野市芸術館 メインホール）	2026-12-24|2026-12-15	3,4
2	「果てない ～甦る母篇～」	5392,5393	engeki	全国ツアー（シアタートラム／キャナルシティ劇場）|キャナルシティ劇場	2026-12-29|2026-12-29	3,1
2	桂文珍独演会	413,4670	owarai	有楽町よみうりホール|麻生文化センター 川崎市麻生市民館	2026-11-29|2027-01-17	1,1
2	横山幸雄（p）	3663,3719	classic	宗次ホール|アイザック小杉文化ホール ラポール ひびきホール	2027-01-17|2026-09-26	2,1
2	渋谷うたの日	5819,5822	jpop	渋谷CLUB QUATTRO|Spotify O-WEST	2026-10-05|2026-10-06	1,1
2	石川さゆりコンサート ～極上のアンサンブル～	2338,4491	enka	東京エレクトロン韮崎文化ホール 大ホール|シンフォニアテクノロジー響ホール伊勢 大ホール	2026-10-04|2027-01-30	1,1
2	荻野目洋子	4184,4492	jpop	大井川文化会館ミュージコ|北國新聞赤羽ホール	2026-12-05|2026-12-20	1,1
2	都響スペシャル	4711,4775	classic	東京オペラシティ コンサートホール:タケミツメモリアル|サントリーホール 大ホール	2027-01-22|2027-02-19	1,2
2	鼓童	5797,5897	enka	札幌コンサートホールKitara 大ホール|幕別町百年記念ホール	2026-10-03|2026-10-18	1,1
