OSHINAVI 独立点検 / 基準日 2026-08-24 / index.html は読み取りのみ・ネットワーク未使用
エントリ総数 3297 件（verified=true 3297 / false 0）

========== A. 削除すべき（千秋楽が過去＋買える枠ゼロ）: 48 件 ==========
id=3296 | 【動画配信】第71回九州吹奏楽コンクール（中学生・高等学校の部） | 【動画配信】第71回九州吹奏楽コンクール（中学生・高等学校の部） | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=3313 | ジャパンレプタイルズショー in 札幌 2026 北レプ 夏 | ジャパンレプタイルズショー in 札幌 2026 北レプ 夏 | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=3391 | 秘密の小梅ちゃんクラブ | 秘密の小梅ちゃんクラブ | date=2026-08-23 | 締切=2026-08-20 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-20)
id=3650 | 宝塚歌劇 雪組宝塚大劇場公演『ポーの一族』千秋楽 ライブ中継 | 宝塚歌劇 雪組宝塚大劇場公演『ポーの一族』千秋楽 ライブ中継 | date=2026-08-23 | 締切=2026-08-21 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-21)
id=3790 | 松原タニシさん『事故物件生活 恐い日常』発売記念トーク&サイン会 | 松原タニシさん『事故物件生活 恐い日常』発売記念トーク&サイン会 | date=2026-08-23 | 締切=2026-08-20 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-20)
id=3797 | 『ホラーにふれる展 -映画美術の世界-』大阪 | 『ホラーにふれる展 -映画美術の世界-』大阪 | date=2026-08-23 | 締切=2026-08-20,2026-08-21 | 枠2(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-21)
id=4013 | 【WEリーグ】マイナビ仙台対AC長野パルセイロ・レディース WEリーグ リーグ戦 | 【WEリーグ】マイナビ仙台対AC長野パルセイロ・レディース WEリーグ リーグ戦 | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=4072 | くれいじーまぐねっと | くれいじーまぐねっと | date=2026-08-23 | 締切=2026-08-18,2026-08-22 | 枠2(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=4130 | 福山雅治 | 福山雅治 | date=2026-08-23 | 締切=2026-08-13 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-13)
id=4132 | RYOGA presents 『HUE after HUE』 | RYOGA presents 『HUE after HUE』 | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
