
======================================================================
■ 2026-09-05(土) 発売開始 … 285枠 / 22ジャンル
======================================================================

【J-POP】145件
  10:00 新日本フィルハーモニー交響楽団 特別演奏会 DS presents 名曲で巡／東京  #5761
  10:00 新日本フィルハーモニー交響楽団 特別演奏会 DS presents 崔 文洙／東京  #5760
  10:00 新日本フィルハーモニー交響楽団 特別演奏会 『スイート・バレンタイン・コンサ／東京  #5759
  10:00 新日本フィルハーモニー交響楽団 第674回定期演奏会〈サントリーホール・シリ／東京  #5757
  10:00 新日本フィルハーモニー交響楽団 第674回定期演奏会〈トリフォニーホール・シ／東京  #5651
  10:00 新日本フィルハーモニー交響楽団 第675回定期演奏会〈サントリーホール・シリ／東京  #5758
  10:00 新日本フィルハーモニー交響楽団 第675回定期演奏会〈トリフォニーホール・シ／東京  #5652
  10:00 東海林茉奈ピアノリサイタル オール・ショパン・プログラム／東京  #6348
  10:00 神韻日本公演2027／京都  #5675
  10:00 神韻日本公演2027／愛知  #5675
  10:00 神韻日本公演2027／兵庫  #5675
  10:00 神韻日本公演2027／大阪  #5675
  10:00 神韻日本公演2027／埼玉  #5675
  10:00 神韻日本公演2027／神奈川  #5675
  10:00 神韻日本公演2027／東京  #5675
  10:00 秋川雅史（T）／愛知  #2471
  10:00 第40回記念津山第九演奏会／岡山  #4852
  10:00 葵トリオ／東京（先行）  #5558
  10:00 野村萬斎&オーケストラ・アンサンブル金沢 「真夏の夜の夢」／静岡  #4855

【お笑い】27件
  10:00 IMM THEATER 寄席／東京  #6097
  10:00 お同期さん／東京  #6100
  10:00 ななまがり漫才単独公演 ななまんざい 第五回／東京  #6313
  10:00 よしもとお笑いライブinけいはんな2026 ～実力派芸人と吉本新喜劇が大集合／京都  #5677
  10:00 よしもとお笑いライブin和光2026～秋の大爆笑ネタまつり～／埼玉  #6132
  10:00 よしもとお笑いライブin川越2026 ～秋の夜のスペシャルネタ祭り～／埼玉  #5676
  10:00 よしもとお笑いライブin市川2026～笑って幸せ尽くしの秋～／千葉  #6131
  10:00 よしもとお笑いライブin座間2026～秋の夜、笑いでおなかいっぱい～／神奈川  #6319
  10:00 よしもとお笑いライブin枚方2026 ～食欲の秋より笑いの秋!枚方を熱くする／大阪  #5678
  10:00 アイドルオタクトークイベント モノクロだった世界がカラフルにvol.4／全国  #6606
  10:00 アブナイ ヨセ 全国ツアー／宮城・東京・愛知・大阪・福岡  #5673
  10:00 ゴリオキナワお疲れ様会 supported by ぴあ／沖縄  #6108
  10:00 ハナコ第10回単独公演2026『これ』／東京  #5551
  10:00 ラフメディカルアイドル科vol.3／全国  #6607
  10:00 宮川大輔×ケンドーコバヤシ トークライブ あんぎゃー 長崎公演／長崎  #3986
  10:00 山里亮太の140 大阪公演～相生橋慕情～／大阪  #3901
  10:00 山里亮太の140 沖縄公演～いつも何度でも～／沖縄  #3902
  10:00 春風亭一之輔独演会／大阪  #2121
  10:00 柳家喬太郎 独演会／大阪（先行）  #1772
  10:00 爆笑!お笑いライブ in 浜松／静岡  #4630
  10:00 狂テット／東京  #5674
  10:00 神奈月 ソロライブツアー ものまねLOVE2026／愛知  #4419
  10:00 立川志らく 独演会／新潟・富山  #4629
  10:00 笑いの秋!よしもとお笑いライブin堺2026／大阪  #5679
  10:00 第2回きっと君はくるさカルビの独演会「無駄に長く話す」／東京  #4961
  10:00 繋いだ手と手 カナメストーン一家 VS 金魚番長一家／東京  #6312
  13:00 さらば青春の光 ステゴロツアー2026／埼玉・島根・岡山・長崎・大分  #6409

【スポーツ】14件
  10:00 2026 バレーボール男子日本代表国際親善試合 日本対カタール(岩手大会)／岩手  #4940
  10:00 ギラヴァンツ北九州対高知ユナイテッドSC 明治安田J3リーグ／福岡  #6611
  10:00 ギラヴァンツ北九州対鹿児島ユナイテッドFC 明治安田J3リーグ／福岡  #6610
  10:00 ヴァンフォーレ甲府対徳島ヴォルティス 明治安田J2リーグ／山梨  #6428
  10:00 令和八年 冬巡業 大相撲蓮田場所／埼玉  #5588
  10:00 大樹生命 Wリーグ 2026-27 レギュラーシーズン 富士吉田市大会／山梨  #5711
  10:00 愛媛FCレディース対VONDS市原FCレディース2026プレナスなでしこリー／愛媛  #3987
  10:00 愛媛FC対カマタマーレ讃岐 明治安田J3リーグ／愛媛  #4297
  10:00 新日本プロレス／新潟  #5755
  12:00 Krush.193／東京  #5644
  12:00 栃木SC対松本山雅FC 明治安田J3リーグ／栃木  #6322
  13:00 大分トリニータ対藤枝MYFC 明治安田J2リーグ／大分  #6609
  20:00 大樹生命 Wリーグユナイテッドカップ 2026-27 グループステージ／駒沢／東京（先行）  #5722
  20:00 大樹生命 Wリーグユナイテッドカップ 2026-27 グループステージ／駒沢／東京（先行）  #5723

【演劇】11件
  10:00 WAHAHA本舗PRESENTS ワハハ本舗特別公演「エンド（仮）」／東京  #3501
  10:00 WAHAHA本舗PRESENTS ワハハ本舗特別公演「エンド（仮）」／愛知  #3501
  10:00 WAHAHA本舗PRESENTS ワハハ本舗特別公演「エンド（仮）」／大阪  #3501
  10:00 『スリーゴースト』／東京  #3493
  10:00 『藍を継ぐ海』朗読と歌の会／大阪  #4430
  10:00 カンパニーデラシネラ「古典名作劇場シリーズ」第4弾 『シンデレラ』／岡山  #5730
  10:00 リア王 -King Lear-／東京  #1101
  10:00 劇団四季／千葉  #72
  10:00 博品館劇場名作リーディングシアター「シャーロック・ホームズ～緋色の研究・出会／東京  #4762
  10:00 舞台『スクラップ アンド コーラス』 -君が灯したメロディー-／大阪  #3590
  12:00 ハムレット、冬の旅 HAMLET’SWINTER／東京（先行）  #6412

【アート】7件
  0:00 NEO 平成レトロ展 <名古屋>／愛知  #2963
  0:00 プレバト才能アリ展／静岡  #3924
  0:00 佐野美術館創立60周年・三島市制85周年 記念 さのび と とくび 名刀のい／静岡  #3988
  0:00 光が死んだ夏展 福岡会場／福岡  #3923
  0:00 松坂屋美術館開館35周年記念 華麗なる武家の纏うKIMONO／愛知  #2581
  10:00 Mozu ミニチュア展 ようこそ、ちいさな世界へ。／静岡  #3925
  10:00 可愛いだけじゃない!?ピングー展／福岡  #6613

【洋楽】7件
  10:00 BLIND CHANNEL／大阪  #4024
  10:00 Dabda／東京  #3884
  10:00 Dabda／愛知  #3884
  10:00 Dabda／大阪  #3884
  10:00 IRENE & SEULGI／広島  #6538
  10:00 IRENE & SEULGI／愛知  #6538
  10:00 WEEZER／愛知  #6539

【演歌】5件
  10:00 ちあきなおみモノマネショー／大阪  #6545
  10:00 島津亜矢／兵庫  #710
  10:00 石川さゆり／岡山  #4509
  10:00 石川さゆりプレミアムアコースティックコンサート／岡山県  #6069
  10:00 辰巳ゆうと／福岡  #4516

【音楽そのほか】5件
  10:00 “音”で楽しむ!真夜中の映画祭 クリストファー・ノーラン「ダンケルク」「ダー／東京  #6429
  10:00 “音”で楽しむ!真夜中の映画祭 マイケル・ジャクソン「ムーンウォーカー」 <／東京  #6430
  10:00 「夫の役割、妻の役割ってなに?」 映画『佐藤さんと佐藤さん』上映とトーク／福岡  #6612
  12:00 『エグ女TV2026』／東京（先行）  #6615
  18:00 Hizuki Yui Solo Event 2026「閃響」／東京（先行）  #5485

【ミュージカル】4件
  10:00 劇団四季「リトルマーメイド」／舞浜／千葉  #6800
  11:00 ミュージカル『メイビー、ハッピーエンディング』／東京  #4249
  12:00 ミュージカル 「ALICE ～不思議の国のアリスより～」／群馬・埼玉・千葉  #2239
  9:31 シークレット歌劇團0931 「北の国のアリス」／北海道（先行）  #4837

【ジャズ】3件
  10:00 アルカスジャズカフェ Marty Holoubek Trio IV feat／長崎  #6272
  10:00 横須賀芸術劇場リニューアル記念 ヨコスカ ジャズ ドリームス ライブシリーズ／神奈川  #5662
  11:00 アロージャズオーケストラ／奈良（先行）  #6295

【舞台挨拶】3件
  10:00 『さとこはいつも』舞台挨拶付き東京先行上映／東京  #5731
  10:00 映画『私はあなたを知らない、』舞台挨拶／東京  #5712
  18:00 映画『RYUJI 竜二』舞台挨拶付きジャパンプレミア／東京（先行）  #6531

【ロック】2件
  10:00 LEGO BIG MORL／東京  #2876
  10:00 岸谷香／岐阜・愛知  #646

【talkshow】2件
  10:00 KYOMAF都市伝説LIVE2026 ～Mr.都市伝説 関暁夫の国際裏シンポ／京都  #6614
  10:00 山田雅人かたりの世界／大阪  #3311

【伝統】2件
  10:00 藤間勘十郎プロデュース「岡崎市民歌舞伎特別公演」／愛知  #3900
  9:00 秋季歌舞伎特別公演 岐阜／岐阜  #3548

【学園祭】2件
  10:00 中島颯太トークショー／岡山  #6440
  12:00 LIL LEAGUE／兵庫県  #6015

【ディナーショー】1件
  10:00 山内惠介／大阪  #177

【花火大会】1件
  00:00 北海道芸術花火2026／北海道  #3229

【hougaku】1件
  10:00 能舞台に響く琵琶の音色 ～琵琶絵巻～ 坂田美子／神奈川  #4642

【キッズ】1件
  10:00 人形劇団むすび座「ニルスのふしぎな旅」／山口  #5550

【アニソン】1件
  10:00 スーパー戦隊魂 XX 2026 ～FOREVER～／東京・大阪  #5661

【event】1件
  10:00 Good Morning Record Bar Presents『GOOD ／京都  #6397

======================================================================
■ 2026-09-06(日) 発売開始 … 88枠 / 13ジャンル
======================================================================

【J-POP】24件
  10:00 Ricky／東京都  #6005
  10:00 THE MICRO HEAD 4N’S／東京  #4507
  10:00 THE 南無ズ／宮城・愛知・大阪  #4426
  10:00 クリスマス・コンサート-山下伶クロマチックハーモニカ-／神奈川  #3989
  10:00 ゴスペラーズ／静岡  #756
  10:00 ゴスペラーズ／富山  #756
  10:00 ゴスペラーズ／長野  #756
  10:00 ゴスペラーズ／宮城  #756
  10:00 ゴスペラーズ／東京  #756
  10:00 ハンブレッダーズ／東京  #4506
  10:00 ハンブレッダーズ／愛知  #4506
  10:00 ハンブレッダーズ／大阪  #4506
