8/23発売開始のエントリ 52件 / 枠合計 76

[classic] オペラ「フィガロの結婚」 | 岐阜・東京 | 2026-12-12 | 枠1 | 10:00
[engeki] タクフェス第14弾『北の島から』 | 大阪・愛知・北海道・東京 | 2026-12-20 | 枠5 | 10:00
[engeki] フォトエッセイ発売記念の集い たびびとすぴ ～探し物のつづき～ | 東京 | 2026-10-10 | 枠1 | 10:00
[engeki] ヨーロッパ企画特別興行「世界の終わりかけとスリーコード」 | 大阪 | 2026-11-01 | 枠1 | 10:00
[engeki] 劇団四季『アラジン』東京公演 | 東京 | 2027-06-27 | 枠6 | 10:00
[jpop] ANIMETAL | 全国 | 2026-11-06 | 枠1 | 10:00
[jpop] KBS京都75周年記念「京都フォーク・デイズ ライブ～うたとことば つなぐ～」 | 京都 | 2026-10-04 | 枠1 | 10:00
[jpop] Laughing Hick | 全国 | 2026-12-04 | 枠1 | 12:00
[jpop] NES-FES. ～ EXILE THE SECOND Special ～ | 熊本 | 2026-10-11 | 枠1 | 10:00
[jpop] TOMOVSKY トモフ出航60周年記念ツアー 『3度目のハタチ』“大阪編” | 大阪 | 2026-11-08 | 枠1 | 11:00
[jpop] indigo la End | 全国 | 2026-12-03 | 枠6 | 10:00
[jpop] ゴスペラーズ ライブ 2026 | 全国 | 2026-12-26 | 枠2 | 10:00
[jpop] 加藤登紀子 Songs for Love 2026 | 全国 | 2026-11-29 | 枠1 | 10:00
[jpop] 歌心りえ 2026 | 全国 | 2026-11-22 | 枠1 | 10:00
[jpop] 渡辺真知子 2026 | 全国 | 2026-11-15 | 枠1 | 10:00
[jpop] 野村義男 | 東京 | 2026-10-09 | 枠1 | 10:00
[musical] ミュージカル『101ダルメシアンズ』 | 全国 | 2026-11-15 | 枠2 | 10:00
[musical] ミュージカル『ジョン&ジェン』 | 全国 | 2026-12-27 | 枠4 | 10:00
[musical] ミュージカル『新テニスの王子様』The Final Stage | 全国 | 2026-11-15 | 枠4 | 10:00
[musical] ミュージカル『星影の人』-沖田総司・まぼろしの青春- | 全国 | 2026-12-27 | 枠2 | 10:00
[musical] 劇団四季ファミリーミュージカル「はじまりの樹の神話～こそあどの森の物語～」／福岡 | 福岡 | 2026-11-03 | 枠1 | 11:00
[musical] 劇団四季ミュージカル『コーラスライン』／全国ツアー | 全国 | 2026-11-24 | 枠1 | 10:00
[owarai] THE SECOND ライブツアー2026～今、全盛期の漫才師達～ | 全国 | 2026-10-11 | 枠1 | 10:00
[owarai] dolce“偏愛”落語会 | 大阪 | 2026-10-18 | 枠1 | 10:00
[owarai] サンケイホールブリーゼ米朝一門落語会シリーズ2026 噺家生活55周年記念「桂雀三郎独演会」 | 大阪 | 2026-11-01 | 枠1 | 10:00
[owarai] 入船亭扇遊・扇辰 新春兄弟会2027 | 東京 | 2027-01-27 | 枠1 | 10:00
[owarai] 吉原あさひ・鈴々舎美馬 二人会 お楽しみトーク付き | 東京 | 2026-12-22 | 枠1 | 10:00
[owarai] 大成金2026 | 東京 | 2026-12-20 | 枠1 | 10:00
[owarai] 年忘れ 春風亭小朝とナイツのおもしろ寄席 | 長野 | 2026-12-05 | 枠1 | 10:00
[owarai] 特撰落語会 | 全国 | 2027-01-17 | 枠1 | 10:00
[owarai] 第6回 宝井琴鶴・田辺いちか二人会 テーマ「愛」、トーク付き | 東京 | 2027-01-10 | 枠1 | 10:00
[owarai] 隅田川馬石 11月のコツコツ的毎月連続落語会『子別れ 中・下』他 | 東京 | 2026-11-15 | 枠1 | 10:00
[owarai] 隅田川馬石 12月のコツコツ的毎月連続落語会 『淀五郎』他 | 東京 | 2026-12-05 | 枠1 | 10:00
[rock] 鈴木実貴子ズ | 東京 | 2026-12-03 | 枠1 | 10:00
[sports] U-21 浦和対U-21 東京V U-21 Jリーグ | 埼玉 | 2026-09-12 | 枠1 | 10:00
