=== e+ 発売前スイープのまとめ（2026-09-21）===
  anime-song            3件
  classic               0件
  enka                  7件
  hiphop-rap            2件
  idol                 11件
  jazz-fusion          10件
  k-pop-asian           0件
  rock-indies          52件
  visual              161件

ユニーク（登録済みを外した）= 237件

  4579500001 | 2026/12/11(金) | visual               | 先着 DAMNED ONEMAN TOUR2026～2027『Cure』
  4605220001 | 2026/12/11(金) | visual               | 先着 『Aiming』 Premium Acoustic Night
  1908230001 | 2026/12/12(土) | visual               | 抽選 ザアザア
  4582260001 | 2026/12/12(土) | visual               | 抽選 Redo ONEMAN Tour「ECLIPSE ～UMBRA～」
  4602450001 | 2026/12/13(日) | anime-song           | 抽選 Melnoa 1st Anniversary LIVE ～Happy Sparklin
  4480910001 | 2026/12/13(日) | visual               | 先着 jealkbインディーズデビュー20周年記念ツアー2026『二十歳薔薇ノ東名西川口阪東
  3592920001 | 2026/12/14(月) | visual               | 先着 fiveStars
  4604910001 | 2026/12/14(月) | visual               | 抽選 【熱地獄】～第四話～「CHAQLA.を脅かせ!2」
  4604930001 | 2026/12/14(月) | visual               | 先着 【熱地獄】～第四話～「CHAQLA.を脅かせ!2」
  4605410001 | 2026/12/14(月) | visual               | 先着 透明少女ワンマンライブ「未明にやりたい」
  4596140001 | 2026/12/15(火) | visual               | 先着 透明少女主催「キャメルクラッチ」
  4587180001 | 2026/12/16(水) | visual               | 先着 「連撃」
  2686760024 | 2026/12/16(水) | visual               | 先着 甘い暴力 甘い暴力 十周年記念のプレゼンツ「十年目の招待」
  4572310001 | 2026/12/16(水) | visual               | 抽選 Moi dix Mois ～Dis inferno XXIII～
  4601530001 | 2026/12/17(木) | visual               | 先着 CODOMO DRAGON
  0146040001 | 2026/12/19(土) | jazz-fusion          | 先着 小曽根真 クリスマス･ジャズナイト2026 “For Someone”TRiNFiNi
  4570820001 | 2026/12/19(土) | visual               | 先着 【ペアチケット】BabyKingdom 休園ワンマンライブツアー 『UNITED HE
  4324220001 | 2026/12/2(水) | visual               | 抽選 ミスイ ミスイ一時保存ツアー「命乞い」Re:暴弱武人
  4564870001 | 2026/12/2(水) | visual               | 抽選 Sick2 Oneman Tour Final 『女の子を騙すだけの簡単なお仕事です。
  4601660001 | 2026/12/21(月) | visual               | 抽選 GRAVITY ONEMAN 衣装ガチャVol.3
  4578230001 | 2026/12/22(火) | visual               | 先着 glamscure presents madoka生誕祭「COUNT//XXV」
  4594180001 | 2026/12/22(火) | visual               | 先着 カリソメ-単独収容記録-「空席禁止」
  0170420002 | 2026/12/23(水) | jazz-fusion          | 先着 東京キューバンボーイズ コンサート 2026 in Tokyo
  4604140001 | 2026/12/23(水) | visual               | 抽選 クリスマスをSick2と過ごすなんて… アナタ頭おかしいんじゃないか?～NAGOYA～
  4593840001 | 2026/12/24(木) | visual               | 抽選 透明少女聖夜ノ単独公演「溺愛式ソリッド」
  4604000001 | 2026/12/24(木) | visual               | 抽選 『クリスマスをSick2と過ごすなんて…アナタ頭おかしいんじゃないか?～OSAKA～』
  4565900001 | 2026/12/24(木) | visual               | 抽選 KAKURIYO PANDA.2nd Anniversary year企画5弾 クリス
  4600930001 | 2026/12/24(木) | visual               | 先着 えんそく×ビバラッシュごちゃ混ぜクリスマス会 「えんそくでもビバラッシュでもないじゃん
  2807810001 | 2026/12/26(土) | hiphop-rap           | 先着 ODD Foot Works
  4577860001 | 2026/12/26(土) | visual               | 先着 ダウト19～20周年記念47都道府県TOUR 「ダウト鬼念火」
  4588630001 | 2026/12/28(月) | visual               | 先着 NICOLAS ONEMAN 「進化論」Theory of evolution 202
  4604380001 | 2026/12/28(月) | visual               | 抽選 クリスマスをSick2と過ごすなんてアナタ頭おかしいんじゃないかTOKYO
  4597270001 | 2026/12/29(火) | visual               | 抽選 【Aチケット】rivabook presents 「FINAL CUP 2026」
  4597280001 | 2026/12/29(火) | visual               | 先着 【Cチケット】rivabook presents 「FINAL CUP 2026」
  2540240001 | 2026/12/3(木) | rock-indies          | 先着 JOY-POPS(村越弘明+土屋公平)
  4600170001 | 2026/12/3(木) | visual               | 先着 cubrick presents「二転三転」vol.114
  1854240001 | 2026/12/30(水) | idol                 | 先着 ONIGAWARAとベッド･イン おひさしブリーフPARTY 2026
  4582960001 | 2026/12/31(木) | visual               | 抽選 ELISE ONEMAN COUNTDOWN 2026-2027 「FAMILIA」
  4587280001 | 2026/12/4(金) | rock-indies          | 先着 X-pt. 20th Anniversary Live SPECIAL THANKS 
  4605060001 | 2026/12/4(金) | rock-indies          | 先着 年末恒例 P-ROCKだよ 全員集合! 水戸華之介 and MAGUMI with T
  4598000001 | 2026/12/4(金) | visual               | 先着 THE_PiTY.ONEMAN TOUR2026-2027「DRAWING PRIMA
  4588620001 | 2026/12/4(金) | visual               | 先着 NICOLAS ONEMAN 「ANOMALY」
  4603510001 | 2026/12/4(金) | visual               | 先着 NoGoD 単独大布教-TOUR 2026- EXPERIMENTAL STAGE～F
  3853050001 | 2026/12/5(土) | idol                 | 先着 NANIMONO
  4602500001 | 2026/12/5(土) | jazz-fusion          | 先着 柳川市民文化会館自主事業 柳川 Jazz Live akiko 至高のジャズボーカル
  0043320001 | 2026/12/5(土) | rock-indies          | 先着 DIR EN GREY
  4598020001 | 2026/12/5(土) | visual               | 先着 THE_PiTY.ONEMAN TOUR2026-2027「DRAWING PRIMA
  4603520001 | 2026/12/5(土) | visual               | 先着 NoGoD 単独大布教-TOUR 2026- EXPERIMENTAL STAGE～F
  4581730001 | 2026/12/5(土) | visual               | 先着 ダウト19～20周年記念47都道府県TOUR 「ダウト鬼念火」
  4581740001 | 2026/12/5(土) | visual               | 先着 【地元民割チケット】ダウト19～20周年記念47都道府県TOUR 「ダウト鬼念火」
  4597320001 | 2026/12/5(土) | visual               | 先着 VALHALLA 1st anniversary ONEMAN -NEXT STAGE
  4596920001 | 2026/12/6(日) | rock-indies          | 先着 BRING IT ON !!!vol.11
  4598030001 | 2026/12/6(日) | visual               | 先着 THE_PiTY.ONEMAN TOUR2026-2027「DRAWING PRIMA
  4601910001 | 2026/12/6(日) | visual               | 先着 誕-フクスケ-
  4582320001 | 2026/12/6(日) | visual               | 抽選 Redo ONEMAN Tour 「ECLIPSE ～UMBRA～」
  4587620001 | 2026/12/6(日) | visual               | 先着 プラトリウム
  0870890001 | 2026/12/9(水) | jazz-fusion          | 先着 Gentle Forest Jazz Band ジェントル･フォレスト･ジャズ･バンド
  4596750001 | 2026/12/9(水) | visual               | 先着 【1部】VIVA LA KNZ 10th Anniversary LIVE - The
  4566780001 | 2026/12/9(水) | visual               | 抽選 関東強制ログイン
  4595960001 | 2026/12/9(水) | visual               | 先着 えんそく×DOG inTheパラレルワールドオーケストラ 共同主催2MAN 「パラレル
  4596760001 | 2026/12/9(水) | visual               | 先着 【2部】VIVA LA KNZ 10th Anniversary LIVE - The
  4597850001 | 2026/12/9(水) | visual               | 先着 Go!Go!福助。NIGHT-五十祭。-
  3410100001 | 2026/9/21(月・祝) | idol                 | 先着 豆柴の大群
  4568200001 | 2026/9/26(土) | hiphop-rap           | 先着 MISSION Vol.6
